"Id","IdParinte","Sectiune","An","NumeInstitutie","DenumireIndicator","Suma"
"10","10","5101","2013","Consiliul national pentru studierea arhivelor securitatii","TITLUL I CHELTUIELI DE PERSONAL","11016"
"10","10","5101","2013","Consiliul national pentru studierea arhivelor securitatii","TITLUL II BUNURI SI SERVICII","1069"
"10","10","5101","2013","Consiliul national pentru studierea arhivelor securitatii","TITLUL XII ACTIVE NEFINANCIARE","100"
"11","0","5001","2013","Consiliul national al audiovizualului","CHELTUIELI - BUGET DE STAT","8451"
"11","11","5001","2013","Consiliul national al audiovizualului","TITLUL I CHELTUIELI DE PERSONAL","7273"
"11","11","5001","2013","Consiliul national al audiovizualului","TITLUL II BUNURI SI SERVICII","1128"
"11","11","5001","2013","Consiliul national al audiovizualului","TITLUL VII ALTE TRANSFERURI","10"
"11","11","5001","2013","Consiliul national al audiovizualului","TITLUL X ALTE CHELTUIELI","3"
"11","11","5001","2013","Consiliul national al audiovizualului","TITLUL XII ACTIVE NEFINANCIARE","37"
"11","11","5101","2013","Consiliul national al audiovizualului","AUTORITATI PUBLICE SI ACTIUNI EXTERNE","8451"
"11","11","5101","2013","Consiliul national al audiovizualului","TITLUL I CHELTUIELI DE PERSONAL","7273"
"11","11","5101","2013","Consiliul national al audiovizualului","TITLUL II BUNURI SI SERVICII","1128"
"11","11","5101","2013","Consiliul national al audiovizualului","TITLUL VII ALTE TRANSFERURI","10"
"11","11","5101","2013","Consiliul national al audiovizualului","TITLUL X ALTE CHELTUIELI","3"
"11","11","5101","2013","Consiliul national al audiovizualului","TITLUL XII ACTIVE NEFINANCIARE","37"
"13","0","5001","2013","Secretariatul general al guvernului","CHELTUIELI - BUGET DE STAT","7345476"
"13","13","5001","2013","Secretariatul general al guvernului","TITLUL I CHELTUIELI DE PERSONAL","317134"
"13","13","5001","2013","Secretariatul general al guvernului","TITLUL II BUNURI SI SERVICII","155708"
"13","13","5001","2013","Secretariatul general al guvernului","TITLUL III DOBANZI","39124"
"13","13","5001","2013","Secretariatul general al guvernului","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","487205"
"13","13","5001","2013","Secretariatul general al guvernului","TITLUL VII ALTE TRANSFERURI","1468808"
"13","13","5001","2013","Secretariatul general al guvernului","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","2408832"
"13","13","5001","2013","Secretariatul general al guvernului","TITLUL X ALTE CHELTUIELI","859066"
"13","13","5001","2013","Secretariatul general al guvernului","TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA","1510299"
"13","13","5001","2013","Secretariatul general al guvernului","TITLUL XII ACTIVE NEFINANCIARE","13426"
"13","13","5001","2013","Secretariatul general al guvernului","TITLUL XVI RAMBURSARI DE CREDITE","85874"
"13","13","5101","2013","Secretariatul general al guvernului","AUTORITATI PUBLICE SI ACTIUNI EXTERNE","581311"
"13","13","5101","2013","Secretariatul general al guvernului","TITLUL I CHELTUIELI DE PERSONAL","306729"
"13","13","5101","2013","Secretariatul general al guvernului","TITLUL II BUNURI SI SERVICII","153433"
"13","13","5101","2013","Secretariatul general al guvernului","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","8500"
"13","13","5101","2013","Secretariatul general al guvernului","TITLUL VII ALTE TRANSFERURI","8620"
"13","13","5101","2013","Secretariatul general al guvernului","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","88840"
"13","13","5101","2013","Secretariatul general al guvernului","TITLUL X ALTE CHELTUIELI","240"
"13","13","5101","2013","Secretariatul general al guvernului","TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA","1684"
"13","13","5101","2013","Secretariatul general al guvernului","TITLUL XII ACTIVE NEFINANCIARE","13265"
"13","13","5401","2013","Secretariatul general al guvernului","ALTE SERVICII PUBLICE GENERALE","454500"
"13","13","5401","2013","Secretariatul general al guvernului","TITLUL X ALTE CHELTUIELI","454500"
"13","13","6501","2013","Secretariatul general al guvernului","INVATAMANT","2101"
"13","13","6501","2013","Secretariatul general al guvernului","TITLUL X ALTE CHELTUIELI","2101"
"13","13","6701","2013","Secretariatul general al guvernului","CULTURA, RECREERE SI RELIGIE","416526"
"13","13","6701","2013","Secretariatul general al guvernului","TITLUL I CHELTUIELI DE PERSONAL","1574"
"13","13","6701","2013","Secretariatul general al guvernului","TITLUL II BUNURI SI SERVICII","740"
"13","13","6701","2013","Secretariatul general al guvernului","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","11926"
"13","13","6701","2013","Secretariatul general al guvernului","TITLUL X ALTE CHELTUIELI","402225"
"13","13","6701","2013","Secretariatul general al guvernului","TITLUL XII ACTIVE NEFINANCIARE","61"
"13","13","8001","2013","Secretariatul general al guvernului","ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA","72874"
"13","13","8001","2013","Secretariatul general al guvernului","TITLUL I CHELTUIELI DE PERSONAL","8831"
"13","13","8001","2013","Secretariatul general al guvernului","TITLUL II BUNURI SI SERVICII","1535"
"13","13","8001","2013","Secretariatul general al guvernului","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","62408"
"13","13","8001","2013","Secretariatul general al guvernului","TITLUL XII ACTIVE NEFINANCIARE","100"
"13","13","8201","2013","Secretariatul general al guvernului","INDUSTRIA EXTRACTIVA, PRELUCRATOARE SI CONSTRUCTII","800"
"13","13","8201","2013","Secretariatul general al guvernului","TITLUL III DOBANZI","100"
"13","13","8201","2013","Secretariatul general al guvernului","TITLUL XVI RAMBURSARI DE CREDITE","700"
"13","13","8401","2013","Secretariatul general al guvernului","TRANSPORTURI","5817364"
"13","13","8401","2013","Secretariatul general al guvernului","TITLUL III DOBANZI","39024"
"13","13","8401","2013","Secretariatul general al guvernului","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","466779"
"13","13","8401","2013","Secretariatul general al guvernului","TITLUL VII ALTE TRANSFERURI","1460188"
"13","13","8401","2013","Secretariatul general al guvernului","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","2257584"
"13","13","8401","2013","Secretariatul general al guvernului","TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA","1508615"
"13","13","8401","2013","Secretariatul general al guvernului","TITLUL XVI RAMBURSARI DE CREDITE","85174"
"14","0","5001","2013","Ministerul afacerilor externe","CHELTUIELI - BUGET DE STAT","564842"
"14","14","5001","2013","Ministerul afacerilor externe","TITLUL I CHELTUIELI DE PERSONAL","286671"
"14","14","5001","2013","Ministerul afacerilor externe","TITLUL II BUNURI SI SERVICII","166871"
"14","14","5001","2013","Ministerul afacerilor externe","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","5430"
"14","14","5001","2013","Ministerul afacerilor externe","TITLUL VII ALTE TRANSFERURI","71654"
"14","14","5001","2013","Ministerul afacerilor externe","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","13728"
"14","14","5001","2013","Ministerul afacerilor externe","TITLUL X ALTE CHELTUIELI","10230"
"14","14","5001","2013","Ministerul afacerilor externe","TITLUL XII ACTIVE NEFINANCIARE","10258"
"14","14","5101","2013","Ministerul afacerilor externe","AUTORITATI PUBLICE SI ACTIUNI EXTERNE","512703"
"14","14","5101","2013","Ministerul afacerilor externe","TITLUL I CHELTUIELI DE PERSONAL","270337"
"14","14","5101","2013","Ministerul afacerilor externe","TITLUL II BUNURI SI SERVICII","153884"
"14","14","5101","2013","Ministerul afacerilor externe","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","2834"
"14","14","5101","2013","Ministerul afacerilor externe","TITLUL VII ALTE TRANSFERURI","61464"
"14","14","5101","2013","Ministerul afacerilor externe","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","13728"
"14","14","5101","2013","Ministerul afacerilor externe","TITLUL X ALTE CHELTUIELI","230"
"14","14","5101","2013","Ministerul afacerilor externe","TITLUL XII ACTIVE NEFINANCIARE","10226"
"14","14","5401","2013","Ministerul afacerilor externe","ALTE SERVICII PUBLICE GENERALE","9000"
"14","14","5401","2013","Ministerul afacerilor externe","TITLUL VII ALTE TRANSFERURI","9000"
"14","14","6501","2013","Ministerul afacerilor externe","INVATAMANT","2545"
"14","14","6501","2013","Ministerul afacerilor externe","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","1355"
"14","14","6501","2013","Ministerul afacerilor externe","TITLUL VII ALTE TRANSFERURI","1190"
"14","14","6701","2013","Ministerul afacerilor externe","CULTURA, RECREERE SI RELIGIE","40594"
"14","14","6701","2013","Ministerul afacerilor externe","TITLUL I CHELTUIELI DE PERSONAL","16334"
"14","14","6701","2013","Ministerul afacerilor externe","TITLUL II BUNURI SI SERVICII","12987"
"14","14","6701","2013","Ministerul afacerilor externe","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","1241"
"14","14","6701","2013","Ministerul afacerilor externe","TITLUL X ALTE CHELTUIELI","10000"
"14","14","6701","2013","Ministerul afacerilor externe","TITLUL XII ACTIVE NEFINANCIARE","32"
"15","0","5001","2013","Ministerul dezvoltarii regionale si administratiei publice","CHELTUIELI - BUGET DE STAT","2179910"
"15","15","5001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL I CHELTUIELI DE PERSONAL","130740"
"15","15","5001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL II BUNURI SI SERVICII","25803"
"15","15","5001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL IV SUBVENTII","126000"
"15","15","5001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE","583077"
"15","15","5001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL VII ALTE TRANSFERURI","86218"
"15","15","5001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","1130411"
"15","15","5001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL X ALTE CHELTUIELI","300"
"15","15","5001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA","11183"
"15","15","5001","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL XII ACTIVE NEFINANCIARE","86178"
"15","15","5101","2013","Ministerul dezvoltarii regionale si administratiei publice","AUTORITATI PUBLICE SI ACTIUNI EXTERNE","210451"
"15","15","5101","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL I CHELTUIELI DE PERSONAL","130740"
"15","15","5101","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL II BUNURI SI SERVICII","25803"
"15","15","5101","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL VII ALTE TRANSFERURI","470"
"15","15","5101","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE","52538"
"15","15","5101","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL X ALTE CHELTUIELI","300"
"15","15","5101","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL XII ACTIVE NEFINANCIARE","600"
"15","15","5301","2013","Ministerul dezvoltarii regionale si administratiei publice","CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE","490"
"15","15","5301","2013","Ministerul dezvoltarii regionale si administratiei publice","TITLUL VII ALTE TRANSFERURI","490"
