idinstitutie,idparinte,sectiune,an,numeinstitutie,denumireindicator,suma
9,9,500155,2013,Avocatul Poporului,TITLUL VII ALTE TRANSFERURI,8
9,9,500170,2013,Avocatul Poporului,CHELTUIELI DE CAPITAL,44
9,9,500171,2013,Avocatul Poporului,TITLUL XII ACTIVE NEFINANCIARE,44
9,9,5101,2013,Avocatul Poporului,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,5623
9,9,510101,2013,Avocatul Poporului,CHELTUIELI CURENTE,5579
9,9,510110,2013,Avocatul Poporului,TITLUL I CHELTUIELI DE PERSONAL,4482
9,9,510120,2013,Avocatul Poporului,TITLUL II BUNURI SI SERVICII,1089
9,9,510155,2013,Avocatul Poporului,TITLUL VII ALTE TRANSFERURI,8
9,9,510170,2013,Avocatul Poporului,CHELTUIELI DE CAPITAL,44
9,9,510171,2013,Avocatul Poporului,TITLUL XII ACTIVE NEFINANCIARE,44
10,0,5001,2013,Consiliul National pentru Studierea Arhivelor Securitatii,CHELTUIELI - BUGET DE STAT,12185
10,10,500101,2013,Consiliul National pentru Studierea Arhivelor Securitatii,CHELTUIELI CURENTE,12085
10,10,500110,2013,Consiliul National pentru Studierea Arhivelor Securitatii,TITLUL I CHELTUIELI DE PERSONAL,11016
10,10,500120,2013,Consiliul National pentru Studierea Arhivelor Securitatii,TITLUL II BUNURI SI SERVICII,1069
10,10,500170,2013,Consiliul National pentru Studierea Arhivelor Securitatii,CHELTUIELI DE CAPITAL,100
10,10,500171,2013,Consiliul National pentru Studierea Arhivelor Securitatii,TITLUL XII ACTIVE NEFINANCIARE,100
10,10,5101,2013,Consiliul National pentru Studierea Arhivelor Securitatii,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,12185
10,10,510101,2013,Consiliul National pentru Studierea Arhivelor Securitatii,CHELTUIELI CURENTE,12085
10,10,510110,2013,Consiliul National pentru Studierea Arhivelor Securitatii,TITLUL I CHELTUIELI DE PERSONAL,11016
10,10,510120,2013,Consiliul National pentru Studierea Arhivelor Securitatii,TITLUL II BUNURI SI SERVICII,1069
10,10,510170,2013,Consiliul National pentru Studierea Arhivelor Securitatii,CHELTUIELI DE CAPITAL,100
10,10,510171,2013,Consiliul National pentru Studierea Arhivelor Securitatii,TITLUL XII ACTIVE NEFINANCIARE,100
11,0,5001,2013,Consiliul National al Audiovizualului,CHELTUIELI - BUGET DE STAT,8451
11,11,500101,2013,Consiliul National al Audiovizualului,CHELTUIELI CURENTE,8414
11,11,500110,2013,Consiliul National al Audiovizualului,TITLUL I CHELTUIELI DE PERSONAL,7273
11,11,500120,2013,Consiliul National al Audiovizualului,TITLUL II BUNURI SI SERVICII,1128
11,11,500155,2013,Consiliul National al Audiovizualului,TITLUL VII ALTE TRANSFERURI,10
11,11,500159,2013,Consiliul National al Audiovizualului,TITLUL X  ALTE CHELTUIELI,3
11,11,500170,2013,Consiliul National al Audiovizualului,CHELTUIELI DE CAPITAL,37
11,11,500171,2013,Consiliul National al Audiovizualului,TITLUL XII ACTIVE NEFINANCIARE,37
11,11,5101,2013,Consiliul National al Audiovizualului,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,8451
11,11,510101,2013,Consiliul National al Audiovizualului,CHELTUIELI CURENTE,8414
11,11,510110,2013,Consiliul National al Audiovizualului,TITLUL I CHELTUIELI DE PERSONAL,7273
11,11,510120,2013,Consiliul National al Audiovizualului,TITLUL II BUNURI SI SERVICII,1128
